tag,scenario,scenario_label,cancer,fold,regime,ibs,delta_ibs,n_train,seer_n
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_05pct,0.06725543531758962,-0.1223248856730185,365655.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_100pct,0.062117892363801275,-0.12746242862680685,7104805.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_10pct,0.06297078891154596,-0.12660953207906217,720346.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_20pct,0.0669460056579311,-0.12263431533267702,1429733.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_50pct,0.10270871965065245,-0.08687160133995567,3557882.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_n001k_00pct,0.1187622208518102,-0.07081810013879793,11961.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_n003k_00pct,0.1448952935598206,-0.04468502743078753,13963.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_n010k_00pct,0.11860539963974015,-0.07097492135086797,20961.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,DLBC,mean,seer_n035k_00pct,0.10731629583896969,-0.08226402515163843,45961.5,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_01pct,0.01948230135273062,-0.15210471016713475,81887.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_05pct,0.0231992526704455,-0.14838775884941988,365642.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_100pct,0.025625273729577083,-0.14596173779028832,7104792.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_10pct,0.027360194580305797,-0.14422681693955958,720333.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_20pct,0.02638025079816389,-0.1452067607217015,1429720.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_50pct,0.026905845042886678,-0.1446811664769787,3557869.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_n001k_00pct,0.026173450325014967,-0.1454135611948504,11948.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_n003k_00pct,0.025319436032499188,-0.14626757548736619,13950.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_n010k_00pct,0.02181744613928415,-0.14976956538058123,20948.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,ESCA,mean,seer_n035k_00pct,0.020555100375930353,-0.15103191114393502,45948.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_01pct,0.02627523698942331,-0.047920206928300915,81805.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_05pct,0.025555026782049815,-0.048640417135674414,365560.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_100pct,0.04234008315720303,-0.0318553607605212,7104710.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_10pct,0.026828292890836863,-0.047367151026887364,720251.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_20pct,0.03005060203952093,-0.0441448418782033,1429638.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_50pct,0.046574239903299064,-0.027621204014425166,3557787.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_n001k_00pct,0.04027375137375399,-0.03392169254397024,11866.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_n003k_00pct,0.03220388435814152,-0.04199155955958271,13868.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_n010k_00pct,0.027729744104371436,-0.046465699813352794,20866.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,GBM,mean,seer_n035k_00pct,0.025280562026357156,-0.04891488189136707,45866.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_01pct,0.0431073625459092,-0.13360699178605767,81819.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_05pct,0.04489449983393776,-0.1318198544980291,365574.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_100pct,0.05435739358551078,-0.12235696074645608,7104724.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_10pct,0.04591678275228049,-0.13079757157968636,720265.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_20pct,0.052264642536354586,-0.12444971179561228,1429652.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_50pct,0.059151248362054216,-0.11756310596991265,3557801.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_n001k_00pct,0.10799538684008089,-0.06871896749188597,11880.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_n003k_00pct,0.09554494807487027,-0.0811694062570966,13882.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_n010k_00pct,0.060269122764177334,-0.11644523156778952,20880.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,HNSC,mean,seer_n035k_00pct,0.05170617330645952,-0.12500818102550734,45880.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_01pct,0.023881088323713724,-0.0683246475026903,81868.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_05pct,0.026335750277492673,-0.06586998554891135,365623.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_100pct,0.030316872665797585,-0.06188886316060644,7104773.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_10pct,0.026474512949380337,-0.06573122287702368,720314.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_20pct,0.028239002389812383,-0.06396673343659165,1429701.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_50pct,0.028524727272139828,-0.0636810085542642,3557850.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_n001k_00pct,0.0628891313416208,-0.029316604484783224,11929.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_n003k_00pct,0.07374216829897243,-0.0184635675274316,13931.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_n010k_00pct,0.029999099895235533,-0.06220663593116849,20929.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KICH,mean,seer_n035k_00pct,0.025782640618357177,-0.06642309520804685,45929.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_01pct,0.034931960797138714,-0.09349623496369015,81817.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_05pct,0.03700499042070486,-0.091423205340124,365572.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_10pct,0.040828005684683234,-0.08760019007614564,720263.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_20pct,0.04341612249209873,-0.08501207326873014,1429650.0,nan
ALL,pan_tcga_incremental_then_pan_seer,Pan-cancer TCGA → + pan-SEER continuation,KIRC,mean,seer_50pct,0.05277381648155819,-0.07565437927927068,3557799.0,nan
