scenario,scenario_label,group,cancer,x_index,x_label,x_label_plain,x_axis_title,regime,delta_ibs,display_delta_ibs,raw_delta_ibs,ibs_mean,n_folds,is_interpolated,color
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,0,Single-<br>cancer<br>TCGA,Single- cancer TCGA,TCGA subset size,single_cancer_tcga_baseline,0.0,0.0,0.0,0.29743321998166006,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,1,1%,1%,TCGA subset size,tcga_frac0p01,-0.11025591228198842,-0.11025591228198842,-0.11025591228198842,0.18717730769967164,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,2,2%,2%,TCGA subset size,tcga_frac0p02,-0.19272072419782535,-0.19272072419782535,-0.19272072419782535,0.10471249578383471,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,3,5%,5%,TCGA subset size,tcga_frac0p05,-0.21330155076530277,-0.21330155076530277,-0.21330155076530277,0.08413166921635729,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,4,10%,10%,TCGA subset size,tcga_frac0p10,-0.21612370088732596,-0.21612370088732596,-0.21612370088732596,0.08130951909433409,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,5,20%,20%,TCGA subset size,tcga_frac0p20,-0.23534299799377956,-0.23534299799377956,-0.23534299799377956,0.0620902219878805,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,6,50%,50%,TCGA subset size,tcga_frac0p50,-0.25981515520941423,-0.25981515520941423,-0.25981515520941423,0.03761806477224583,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,CHOL,7,100%,100%,TCGA subset size,tcga_frac1p00,-0.2565528519227875,-0.2565528519227875,-0.2565528519227875,0.040880368058872574,4,0,#857a0b
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,0,Single-<br>cancer<br>TCGA,Single- cancer TCGA,TCGA subset size,single_cancer_tcga_baseline,0.0,0.0,0.0,0.19789065085078533,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,1,1%,1%,TCGA subset size,tcga_frac0p01,-0.023561656415546722,-0.023561656415546722,-0.023561656415546722,0.1743289944352386,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,2,2%,2%,TCGA subset size,tcga_frac0p02,-0.04742131849567133,-0.04742131849567133,-0.04742131849567133,0.150469332355114,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,3,5%,5%,TCGA subset size,tcga_frac0p05,-0.05842371765546572,-0.05842371765546572,-0.05842371765546572,0.1394669331953196,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,4,10%,10%,TCGA subset size,tcga_frac0p10,-0.08575509525017141,-0.08575509525017141,-0.08575509525017141,0.11213555560061392,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,5,20%,20%,TCGA subset size,tcga_frac0p20,-0.09221586356387033,-0.09221586356387033,-0.09221586356387033,0.105674787286915,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,6,50%,50%,TCGA subset size,tcga_frac0p50,-0.10874110263720652,-0.10874110263720652,-0.10874110263720652,0.08914954821357882,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,COAD,7,100%,100%,TCGA subset size,tcga_frac1p00,-0.14753442718713633,-0.14753442718713633,-0.14753442718713633,0.050356223663649,5,0,#90006f
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,0,Single-<br>cancer<br>TCGA,Single- cancer TCGA,TCGA subset size,single_cancer_tcga_baseline,0.0,0.0,0.0,0.18958032099060812,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,1,1%,1%,TCGA subset size,tcga_frac0p01,0.04796410814040708,0.04796410814040708,0.04796410814040708,0.2375444291310152,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,2,2%,2%,TCGA subset size,tcga_frac0p02,-0.005800935798148998,-0.005800935798148998,-0.005800935798148998,0.18377938519245912,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,3,5%,5%,TCGA subset size,tcga_frac0p05,-0.028147902060946806,-0.028147902060946806,-0.028147902060946806,0.16143241892966131,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,4,10%,10%,TCGA subset size,tcga_frac0p10,0.15615390630347797,0.15615390630347797,0.15615390630347797,0.3457342272940861,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,5,20%,20%,TCGA subset size,tcga_frac0p20,0.029154378905279776,0.029154378905279776,0.029154378905279776,0.2187346998958879,2,0,#4ee9a6
tcga_only_pan_incremental_vs_single_baseline,Pan-cancer TCGA only,TCGA only,DLBC,6,50%,50%,TCGA subset size,tcga_frac0p50,0.13408990008660843,0.13408990008660843,0.13408990008660843,0.32367022107721655,2,0,#4ee9a6
